session,market,side,n_updates,gap_max,depth_min,gross,net_after_slip,actionable
manual-1044299-omc2398104,0x28688284,bid,1,0.01,59.99,0.6,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,707.0,7.07,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.04,20.0,0.8,0.6,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,10.0,0.1,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.02,5.0,0.1,0.05,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,132.95,1.33,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,231.84,2.32,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,56.47,0.56,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.02,24.99,0.5,0.25,False
manual-1044299-omc2398104,0x28688284,bid,1,0.02,93.0,1.86,0.93,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,5.97,0.06,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,10.5,0.11,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,289.76,2.9,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,123.94,1.24,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.04,26.7,1.07,0.8,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,10.0,0.1,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,5.0,0.05,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.02,33.73,0.67,0.34,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,17.0,0.17,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.02,6.98,0.14,0.07,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,44.97,0.45,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.01,20.0,0.2,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,58.56,0.59,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.03,23.65,0.71,0.47,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,8.76,0.09,0.0,False
manual-1044299-omc2398104,0x28688284,ask,1,0.05,24.99,1.25,1.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.03,127.99,3.84,2.56,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,6.0,0.06,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.01,47.5,0.48,0.0,False
manual-1044299-omc2398104,0x28688284,bid,1,0.02,11.51,0.23,0.12,False
manual-1044299-omc2398104,0x28688284,bid,56,0.019,0.0,0.0,0.0,False
manual-1044737-omc2398103,0xa76c8add,bid,79,0.419,0.0,0.0,0.0,False
manual-1044738-omc2398105,0x492f0784,bid,1,0.02,8.26,0.17,0.08,False
manual-1044738-omc2398105,0x492f0784,ask,1,0.01,100.0,1.0,0.0,False
manual-1044738-omc2398105,0x492f0784,ask,1,0.01,1516.58,15.17,0.0,False
manual-1044738-omc2398105,0x492f0784,bid,1,0.01,171.06,1.71,0.0,False
manual-1044738-omc2398105,0x492f0784,bid,1,0.01,8.97,0.09,0.0,False
manual-1044738-omc2398105,0x492f0784,ask,1,0.01,97.96,0.98,0.0,False
manual-1044738-omc2398105,0x492f0784,ask,1,0.01,1172.21,11.72,0.0,False
manual-1044738-omc2398105,0x492f0784,bid,1,0.01,9.11,0.09,0.0,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.01,247.08,2.47,0.0,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.03,5.82,0.17,0.12,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.01,13.17,0.13,0.0,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.02,38.83,0.78,0.39,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.01,77.15,0.77,0.0,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.01,92.82,0.93,0.0,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.01,74.24,0.74,0.0,False
manual-1044738-omc2398105,0xd4054b54,bid,1,0.01,10.0,0.1,0.0,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.01,116.53,1.17,0.0,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.01,67.01,0.67,0.0,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.02,8.07,0.16,0.08,False
manual-1044738-omc2398105,0xd4054b54,ask,1,0.01,86.39,0.86,0.0,False
manual-1044738-omc2398105,0xd4054b54,bid,114,0.129,0.0,0.0,0.0,False
manual-1049948-omc2398107,0x886ea102,ask,1,0.03,219.91,6.6,4.4,False
manual-1049948-omc2398107,0x886ea102,ask,1,0.01,110.44,1.1,0.0,False
manual-1049948-omc2398107,0x886ea102,ask,1,0.02,147.68,2.95,1.48,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.03,105.25,3.16,2.11,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.03,346.61,10.4,6.93,False
manual-1049948-omc2398107,0x886ea102,ask,1,0.01,724.0,7.24,0.0,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.06,94.5,5.67,4.73,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.02,23.5,0.47,0.24,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.01,194.61,1.95,0.0,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.01,301.2,3.01,0.0,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.01,86.23,0.86,0.0,False
manual-1049948-omc2398107,0x886ea102,bid,1,0.01,298.12,2.98,0.0,False
manual-1049948-omc2398107,0x886ea102,ask,1,0.01,6581.22,65.81,0.0,False
manual-1049948-omc2398107,0x76b863b5,ask,1,0.01,180.0,1.8,0.0,False
manual-1049948-omc2398107,0x76b863b5,bid,1,0.01,10.71,0.11,0.0,False
manual-1049948-omc2398107,0x76b863b5,bid,1,0.01,55.29,0.55,0.0,False
manual-1049948-omc2398107,0x76b863b5,bid,1,0.01,528.82,5.29,0.0,False
manual-1049948-omc2398107,0x76b863b5,bid,1,0.02,14.68,0.29,0.15,False
manual-1049948-omc2398107,0x76b863b5,ask,1,0.02,325.56,6.51,3.26,False
