t,bid_x,bid_sz_x,ask_x,ask_sz_x,bid_y,bid_sz_y,ask_y,ask_sz_y,ask_sum,bid_sum,ask_profit,bid_profit,viol,persist
2026-09-20 15:59:45.070214+00:00,0.25,1684.62,0.26,1316.0,0.76,13.16,0.77,164.56,1.03,1.01,0.0,0.1316000000000001,True,1
2026-09-20 16:06:59.068512+00:00,0.29,25.65,0.31,10.0,0.72,50.0,0.76,131.36,1.07,1.01,0.0,0.25650000000000023,True,1
2026-09-20 16:12:31.070741+00:00,0.29,2408.5,0.31,20.0,0.73,303.03,0.76,615.17,1.07,1.02,0.0,6.060600000000004,True,1
2026-09-20 16:14:32.069932+00:00,0.36,1835.63,0.37,753.11,0.61,1950.31,0.62,170.0,0.99,0.97,1.7000000000000015,0.0,True,1
2026-09-20 16:15:38.073453+00:00,0.31,50.0,0.33,14453.97,0.65,5354.71,0.66,31.0,0.99,0.96,0.3100000000000003,0.0,True,1
2026-09-20 16:15:53.110831+00:00,0.35,50.0,0.38,213.84,0.67,135.48,0.7,259.37,1.08,1.02,0.0,1.0000000000000009,True,1
2026-09-20 16:22:19.073430+00:00,0.47,1886.84,0.48,18.67,0.49,1015.0,0.51,152.92,0.99,0.96,0.18670000000000017,0.0,True,1
2026-09-20 16:23:01.072795+00:00,0.41,3079.71,0.45,10.0,0.5,9593.44,0.53,5.99,0.98,0.9099999999999999,0.11980000000000011,0.0,True,1
2026-09-20 16:28:48.064646+00:00,0.66,50.63,0.67,23.15,0.35,498.37,0.36,45.0,1.03,1.01,0.0,0.5063000000000005,True,1
2026-09-20 16:31:32.064917+00:00,0.73,78.6,0.74,206.42,0.24,5185.6,0.25,98.34,0.99,0.97,0.9834000000000009,0.0,True,1
2026-09-20 16:36:53.064761+00:00,0.75,414.62,0.77,239.0,0.19,2614.0,0.22,282.76,0.99,0.94,2.3900000000000023,0.0,True,1
2026-09-20 16:38:53.062627+00:00,0.79,141.0,0.86,50.0,0.26,50.0,0.27,10202.89,1.13,1.05,0.0,2.500000000000002,True,1
2026-09-20 16:39:16.065962+00:00,0.86,192.83,0.88,6666.12,0.08,370.0,0.1,6006.58,0.98,0.94,120.1316000000001,0.0,True,1
2026-09-20 16:41:15.067742+00:00,0.92,211.87,0.93,165.71,0.05,208.92,0.06,5173.53,0.99,0.9700000000000001,1.6571000000000016,0.0,True,1
2026-09-20 16:41:43.060718+00:00,0.88,183.32,0.9,1031.0,0.08,841.0,0.09,9471.42,0.99,0.96,10.31000000000001,0.0,True,1
2026-09-20 16:43:27.062501+00:00,0.79,191.0,0.83,120.0,0.14,1455.65,0.16,209.99,0.99,0.93,1.200000000000001,0.0,True,1
2026-09-20 16:43:45.066256+00:00,0.79,60.0,0.8,1225.32,0.17,115.57,0.19,202.09,0.99,0.9600000000000001,2.020900000000002,0.0,True,1
2026-09-20 16:47:50.061716+00:00,0.75,60.0,0.77,114.15,0.11,44.5,0.2,120.0,0.97,0.86,3.424500000000003,0.0,True,1
2026-09-20 16:51:56.069199+00:00,0.99,7853.9,0.88,0.0,0.12,20.35,0.19,681.15,1.07,1.1099999999999999,0.0,2.2384999999999975,True,184
2026-09-20 16:51:56.069710+00:00,0.99,7853.9,0.88,0.0,0.12,0.0,0.01,7853.9,0.89,1.1099999999999999,0.0,0.0,True,183
2026-09-20 16:52:05.066935+00:00,0.99,124761.83,0.88,0.0,0.12,0.0,0.01,124761.83,0.89,1.1099999999999999,0.0,0.0,True,182
2026-09-20 16:52:08.077506+00:00,0.99,124758.96,0.88,0.0,0.12,0.0,0.01,124761.83,0.89,1.1099999999999999,0.0,0.0,True,181
2026-09-20 16:52:08.078017+00:00,0.99,124758.96,0.88,0.0,0.12,0.0,0.01,124758.96,0.89,1.1099999999999999,0.0,0.0,True,180
2026-09-20 16:52:08.107255+00:00,0.99,124756.09,0.88,0.0,0.12,0.0,0.01,124758.96,0.89,1.1099999999999999,0.0,0.0,True,179
2026-09-20 16:52:08.107767+00:00,0.99,124756.09,0.88,0.0,0.12,0.0,0.01,124756.09,0.89,1.1099999999999999,0.0,0.0,True,178
2026-09-20 16:52:11.071128+00:00,0.99,124432.05,0.88,0.0,0.12,0.0,0.01,124756.09,0.89,1.1099999999999999,0.0,0.0,True,177
2026-09-20 16:52:11.071634+00:00,0.99,124432.05,0.88,0.0,0.12,0.0,0.01,124432.05,0.89,1.1099999999999999,0.0,0.0,True,176
2026-09-20 16:52:11.075209+00:00,0.99,124159.63,0.88,0.0,0.12,0.0,0.01,124432.05,0.89,1.1099999999999999,0.0,0.0,True,175
2026-09-20 16:52:11.075724+00:00,0.99,124159.63,0.88,0.0,0.12,0.0,0.01,124159.63,0.89,1.1099999999999999,0.0,0.0,True,174
2026-09-20 16:52:12.083829+00:00,0.99,123742.97,0.88,0.0,0.12,0.0,0.01,124159.63,0.89,1.1099999999999999,0.0,0.0,True,173
2026-09-20 16:52:12.084341+00:00,0.99,123742.97,0.88,0.0,0.12,0.0,0.01,123742.97,0.89,1.1099999999999999,0.0,0.0,True,172
2026-09-20 16:52:14.070554+00:00,0.99,144470.33,0.88,0.0,0.12,0.0,0.01,123742.97,0.89,1.1099999999999999,0.0,0.0,True,171
2026-09-20 16:52:14.071061+00:00,0.99,144470.33,0.88,0.0,0.12,0.0,0.01,144470.33,0.89,1.1099999999999999,0.0,0.0,True,170
2026-09-20 16:52:20.068623+00:00,0.99,144458.85,0.88,0.0,0.12,0.0,0.01,144470.33,0.89,1.1099999999999999,0.0,0.0,True,169
2026-09-20 16:52:20.069137+00:00,0.99,144458.85,0.88,0.0,0.12,0.0,0.01,144458.85,0.89,1.1099999999999999,0.0,0.0,True,168
2026-09-20 16:52:53.126412+00:00,0.99,164226.23,0.88,0.0,0.12,0.0,0.01,164226.23,0.89,1.1099999999999999,0.0,0.0,True,167
2026-09-20 16:52:54.124327+00:00,0.99,164205.02,0.88,0.0,0.12,0.0,0.01,164205.02,0.89,1.1099999999999999,0.0,0.0,True,166
2026-09-20 16:52:57.119325+00:00,0.99,164177.63,0.88,0.0,0.12,0.0,0.01,164205.02,0.89,1.1099999999999999,0.0,0.0,True,165
2026-09-20 16:52:57.119832+00:00,0.99,164177.63,0.88,0.0,0.12,0.0,0.01,164177.63,0.89,1.1099999999999999,0.0,0.0,True,164
2026-09-20 16:53:00.124721+00:00,0.99,164167.73,0.88,0.0,0.12,0.0,0.01,164177.63,0.89,1.1099999999999999,0.0,0.0,True,163
2026-09-20 16:53:00.125226+00:00,0.99,164167.73,0.88,0.0,0.12,0.0,0.01,164167.73,0.89,1.1099999999999999,0.0,0.0,True,162
2026-09-20 16:53:02.122159+00:00,0.99,164081.9,0.88,0.0,0.12,0.0,0.01,164081.9,0.89,1.1099999999999999,0.0,0.0,True,161
2026-09-20 16:53:03.086409+00:00,0.99,163931.9,0.88,0.0,0.12,0.0,0.01,164081.9,0.89,1.1099999999999999,0.0,0.0,True,160
2026-09-20 16:53:03.086914+00:00,0.99,163931.9,0.88,0.0,0.12,0.0,0.01,163931.9,0.89,1.1099999999999999,0.0,0.0,True,159
2026-09-20 16:53:03.111367+00:00,0.99,163761.9,0.88,0.0,0.12,0.0,0.01,163931.9,0.89,1.1099999999999999,0.0,0.0,True,158
2026-09-20 16:53:03.111870+00:00,0.99,163761.9,0.88,0.0,0.12,0.0,0.01,163761.9,0.89,1.1099999999999999,0.0,0.0,True,157
2026-09-20 16:53:06.196287+00:00,0.99,163747.2,0.88,0.0,0.12,0.0,0.01,163761.9,0.89,1.1099999999999999,0.0,0.0,True,156
