match_id,favorite,other,entry,exit,reason,pnl,pistol_won
hltv-2389651-103966,MOUZ,Aurora Gaming,0.58,0.435,SL,-0.14499999999999996,True
hltv-2389652-103972,Team Falcons,NRG,0.79,0.955,TP,0.16499999999999992,False
hltv-2389653-103979,Natus Vincere,FURIA,0.515,0.69,TP,0.17499999999999993,False
hltv-2389654-103977,FUT Esports,Astralis,0.595,0.46,SL,-0.13499999999999995,False
hltv-2389656-103994,Team Falcons,3DMAX,0.655,0.805,TP,0.15000000000000002,True
hltv-2389657-104002,FURIA,Astralis,0.625,0.46,SL,-0.16499999999999998,False
hltv-2389947-104312,Natus Vincere,Astralis,0.6,0.48,SL,-0.12,True
hltv-2389948-104317,Aurora Gaming,FUT Esports,0.525,0.635,TP,0.10999999999999999,False
hltv-2389952-104340,Team Falcons,3DMAX,0.715,0.56,SL,-0.15499999999999992,False
hltv-2389956-104371,Astralis,3DMAX,0.585,0.72,TP,0.135,True
hltv-2389958-104377,G2,PARIVISION,0.515,0.4,SL,-0.11499999999999999,True
hltv-2389959-104390,FURIA,FUT Esports,0.58,0.41,SL,-0.16999999999999998,False
hltv-2389960-104385,Aurora Gaming,paiN,0.605,0.76,TP,0.15500000000000003,True
hltv-2389961-104404,Vitality,TheMongolz,0.72,0.865,TP,0.14500000000000002,True
hltv-2389963-104429,Natus Vincere,Aurora Gaming,0.525,0.355,SL,-0.17000000000000004,True
hltv-2389964-104425,PARIVISION,FaZe,0.605,0.46,SL,-0.14499999999999996,True
hltv-2389965-104434,TheMongolz,B8,0.585,0.42,SL,-0.16499999999999998,True
hltv-2389966-104430,FUT Esports,Astralis,0.515,0.41,SL,-0.10500000000000004,True
hltv-2389970-104443,G2,paiN,0.68,0.36,SL,-0.32000000000000006,True
hltv-2389972-104462,FaZe,Astralis,0.575,0.45,SL,-0.12499999999999994,False
hltv-2389974-104468,Aurora Gaming,B8,0.67,0.375,SL,-0.29500000000000004,True
hltv-2389975-104482,FURIA,PARIVISION,0.565,0.435,SL,-0.12999999999999995,True
hltv-2389977-104519,Aurora Gaming,Astralis,0.53,0.41,SL,-0.12000000000000005,False
hltv-2389978-104525,PARIVISION,FUT Esports,0.57,0.435,SL,-0.13499999999999995,False
hltv-2389979-104530,G2,Natus Vincere,0.52,0.655,TP,0.135,True
hltv-2389980-104594,Team Falcons,PARIVISION,0.625,0.5,SL,-0.125,True
hltv-2389984-104660,MOUZ,PARIVISION,0.52,0.375,SL,-0.14500000000000002,True
hltv-2390811-105805,Team Falcons,NRG,0.7,0.865,TP,0.16500000000000004,False
hltv-2391140-105700,FUT Esports,Astralis,0.565,0.68,TP,0.1150000000000001,False
hltv-2391758-105904,FURIA,Aurora Gaming,0.555,0.425,SL,-0.13000000000000006,False
hltv-2391761-105949,Spirit,PARIVISION,0.665,0.505,SL,-0.16000000000000003,True
hltv-2391771-106232,Aurora Gaming,TheMongolz,0.525,0.645,TP,0.12,False
hltv-2391773-106290,Vitality,Aurora Gaming,0.745,0.905,TP,0.16000000000000003,False
hltv-2391774-106313,Natus Vincere,PARIVISION,0.505,0.395,SL,-0.10999999999999999,False
hltv-2393084-107112,Team Falcons,3DMAX,0.725,0.545,SL,-0.17999999999999994,True
hltv-2393086-107114,Natus Vincere,B8,0.685,0.825,TP,0.1399999999999999,True
hltv-2393088-107115,MOUZ,Legacy,0.615,0.465,SL,-0.14999999999999997,True
hltv-2393225-107127,Gentle Mates,RED Canids,0.595,0.465,SL,-0.12999999999999995,False
hltv-2393228-107138,Natus Vincere,FURIA,0.565,0.735,TP,0.17000000000000004,False
hltv-2393229-107137,B8,Passion UA,0.635,0.47,SL,-0.16500000000000004,False
