key,y,mtime,form_a,form_b,c2_n_a,c2_n_b,c1_early_winrate_gap,c1_mid_winrate_gap,c1_early_alive_end_gap,c1_mid_alive_end_gap,c1_early_future_kill_gap,c1_mid_future_kill_gap,c2_early_winrate_gap,c2_mid_winrate_gap,c2_early_alive_end_gap,c2_mid_alive_end_gap,c2_early_future_kill_gap,c2_mid_future_kill_gap
hltv_2389644_103938_falcons_vs_aurora_m1_anubis,1,1769953705.0,,,0,0,0.008685060792245736,-0.01254553681088122,0.12220280386709786,0.16716154893239815,0.06482465862125963,0.07914416436486993,,,,,,
hltv_2389643_103935_mouz_vs_nrg_m1_dust2,0,1769954055.0,,,0,0,0.004135986048303786,0.07312178498214328,0.12289413193299598,0.047183440807083254,0.05364555973071583,-0.005367185793451856,,,,,,
hltv_2389643_103935_mouz_vs_nrg_m2_ancient,0,1769957345.0,,,5,5,-0.0002474389042393943,-0.04016791256348734,0.10439909226400707,0.1317725719140328,0.07294537324104378,0.07004643197408916,-0.012209438001529405,-0.00651390895568893,-0.029233403617624054,-0.05379019493173376,-0.008277519323027505,-0.017379760272804134
hltv_2389644_103938_falcons_vs_aurora_m2_mirage,0,1769957970.0,0.3364722366212129,-0.3313571359544425,5,5,-0.007311396413337112,-0.04787843775307021,0.1872534049816908,0.08050231064456298,0.12066140441563428,0.056452917293434435,0.0033100662881599963,-0.0016888895367281331,0.070402153888595,0.05202287907520936,0.03708182687322564,0.023759526522836194
hltv_2389645_103943_g2_vs_fut_m1_mirage,0,1769962751.0,,,0,0,-0.011985414265181793,-0.046258357602222966,0.2404692767805467,0.23168952299489817,0.14729897738320763,0.10736722209498772,,,,,,
hltv_2389646_103946_the_mongolz_vs_furia_m1_mirage,0,1769965830.0,,,0,0,-0.007934719584696714,-0.01834508033483384,0.054674746676109665,-0.025628690147406596,0.0504281097233395,0.004054743184241927,,,,,,
hltv_2389646_103946_the_mongolz_vs_furia_m2_inferno,1,1769970577.0,-0.053345980705292735,0.05264373348542188,5,5,0.008289248328528398,-0.00505783781047503,0.08433114858425,-0.10410745803512922,0.029291974778238694,-0.0325998976006443,0.0025356185059350334,0.004912291803800151,-0.04167643102447732,-0.06276148983813912,-0.017574843867717627,-0.029847657452816978
hltv_2389648_103951_parivision_vs_astralis_m1_overpass,1,1769975323.0,,,0,0,-0.04726652557502348,-0.01567907055675466,0.14634699467701118,0.23534757410222656,0.024257871525363628,0.05488280258579964,,,,,,
hltv_2389647_103949_natus_vincere_vs_spirit_m1_mirage,0,1769978293.0,,,0,0,0.01265337016545387,0.03716543675148842,0.060217734975085424,0.04642958819719922,0.02834086048070783,0.03455091167291685,,,,,,
hltv_2389647_103949_natus_vincere_vs_spirit_m2_dust2,0,1769981411.0,-0.038839833316263894,0.03883983331626396,5,5,-0.0033919525611650903,-0.023579300732499364,-0.22941486364048524,-0.20858300168897842,-0.12600656700997354,-0.12102517216844771,0.0014958555669987161,0.005438926920867615,-0.016639247329080953,-0.01639692644613111,-0.009896844282331174,-0.010476403096824849
hltv_2389649_103964_3dmax_vs_vitality_m1_inferno,1,1770039814.0,,,0,0,-0.013316652777090598,0.004778980392286636,0.12252842170738326,0.23430907388077524,0.0862418816528292,0.13019324355655876,,,,,,
hltv_2389651_103966_mouz_vs_aurora_m1_dust2,1,1770040069.0,0.08701137698962969,,5,5,0.013943653015194513,0.009745444501770839,0.18058746799210623,0.043929754476120964,0.08648795382403862,0.049494909731111425,-0.13394417089965233,-0.09597326501561476,-0.05733430221357361,-0.08129918062606639,0.02518179178547847,-0.009375005287743321
hltv_2389649_103964_3dmax_vs_vitality_m2_dust2,1,1770043438.0,0.556287997842748,-0.556287997842748,5,5,-4.01047800627774e-05,0.04074455870311844,0.17778075770047463,0.20672725979480738,0.09233444204824659,0.08604496439442655,-0.005432436775178462,-0.0013902020105753254,0.14306077889697677,0.1341163603705095,0.07837689875677523,0.07912763788504834
hltv_2389651_103966_mouz_vs_aurora_m2_inferno,1,1770044134.0,0.14635640810043943,-0.27369583047704105,5,5,-0.011187868267344081,-0.01214666944065862,0.09817252077537392,0.18455810429532887,0.08061710845669462,0.09854324159363975,-0.08831401783892323,-0.06045736375331284,-0.017841411641984384,-0.051367093514649076,0.03013510306660966,-0.0009391822781799064
hltv_2389652_103972_nrg_vs_falcons_m1_inferno,0,1770048559.0,,-0.08576682175742506,5,5,0.011920251703849583,0.003786327105781584,-0.19098075665773911,-0.3163997976158516,-0.11808151388898552,-0.15296867071953069,0.12807256416806745,0.06723618925422614,0.022266949108707745,-0.026805147969388543,-0.03711406773907139,-0.030411453681939205
hltv_2389650_103971_faze_vs_bc_game_m1_dust2,1,1770049094.0,,,0,0,-0.001604078713325352,-0.014598057354953564,-0.050812340986739146,-0.023895077738070425,-0.016970650269714505,-0.015667505894609135,,,,,,
hltv_2389652_103972_nrg_vs_falcons_m2_ancient,1,1770052512.0,,-0.08576682175742506,5,5,0.0134805109494599,-0.007297572605652225,0.198792956720717,0.27481515526129485,0.10933154008855023,0.12837511840378707,0.0868511523032024,0.05011345692864949,-0.0039373932783803856,-0.048576208682178934,-0.035611392516209595,-0.03661380324917329
hltv_2389650_103971_faze_vs_bc_game_m2_nuke,0,1770052582.0,,,5,5,0.014956271868538096,0.07103496646970248,0.03167237107043025,-0.07900402043161497,-0.003701632838388813,-0.03766485348742965,0.00569781244705625,0.005532489505639782,0.04914641284715282,0.03166896427673144,0.02348360275530753,0.008598319907354879
hltv_2389653_103979_furia_vs_natus_vincere_m1_mirage,1,1770059408.0,0.10836803672178166,-0.2687061709927753,5,5,-0.008878500174386572,-0.08233719898240593,0.10704465660746565,0.018674026305650904,0.058137207625427345,0.009637394872676452,-0.051051772780788984,-0.07978962323992472,0.0659124015538835,0.03798009589632306,0.016365125325825347,0.004334345650281957
hltv_2389654_103977_fut_vs_astralis_m1_mirage,0,1770059428.0,0.024692612590371414,,5,5,-0.00819495875815729,-0.008206905591014058,0.12712439818658522,0.07612483124703001,0.08584002979190614,0.05425490136335093,-0.07845274717719108,-0.2504877804217215,0.052187586445702094,-0.004609985807718042,0.02242488297657541,0.029647301348216137
hltv_2389653_103979_furia_vs_natus_vincere_m2_inferno,0,1770063573.0,0.17768117723745241,-0.3027611792789013,5,5,0.02182138192194305,0.0192475140025421,-0.13966704767564492,-0.16474213086027645,-0.08288045768870683,-0.08266699433104518,-0.03334285023881123,-0.05409284537148912,0.07312308102360965,0.04465455501636961,0.028290213343057147,0.015446100135349028
hltv_2389654_103977_fut_vs_astralis_m2_overpass,1,1770063667.0,-0.12516314295400605,0.31508104663989545,5,5,0.05119761562446837,0.007701142804875882,-0.16395501696941228,-0.105764910698248,-0.03802203512901109,-0.03887614563383707,-0.04030055998836152,-0.13452756904635033,-0.0033415583534626703,-0.061616379596423576,-0.005432612138432935,-0.009911092774220143
hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,1,1770126018.0,-0.08576682175742506,-0.5020919437972361,5,5,0.014550693986038254,0.08970278749326877,0.1764035967230173,0.2012157636527359,0.08544167033909722,0.07479753632534708,-0.13020044939135,-0.09024533347118058,0.014468102662953508,0.044900975642229,0.0653475932901545,0.02601198859122733
hltv_2389656_103994_3dmax_vs_falcons_m2_dust2,1,1770129795.0,-0.08576682175742506,-0.5020919437972361,5,5,0.00012346080187908282,0.06499679772570033,0.015234975594145106,0.004040857232308015,0.005522143883763264,-0.0031556779151125647,-0.09373843049016606,-0.06330578473724469,0.02995724011873574,0.040754897734364914,0.051880186043226195,0.02341267224159871
hltv_2389655_103995_mouz_vs_faze_m2_inferno,0,1770130289.0,,-0.08961215868968717,5,5,-0.004457995323230657,-0.00538272518746391,-0.050433456446244584,0.030121463047563524,-0.027595848364288633,-0.005299729598717884,0.03357655886999378,0.0652216289898806,-0.014517078184054677,-0.041030904522575296,0.006581751831889193,-0.005452203403817801
hltv_2389657_104002_astralis_vs_furia_m1_overpass,0,1770135643.0,0.06538275926285171,-0.03132247112904116,5,5,-0.06511191027935959,-0.042887278307350174,-0.14387069700968397,-0.17123303617802393,-0.1300239759427142,-0.1035481444007052,0.18560219102448783,0.15874082388914462,0.025076474434559348,0.017825337119064366,-0.03875351641621677,-0.03569374776263762
hltv_2389659_104003_g2_vs_spirit_m1_anubis,0,1770135838.0,,0.2652092165997224,5,5,-0.004674685414903457,0.005395430551126179,-0.22346651414107174,-0.2937877522255187,-0.12439767018733838,-0.15705864670289016,-0.21167556805155363,-0.11069679148998657,-0.09621299748180207,-0.07616146969291426,-0.015576603381930287,-0.04537096429675064
