recv,a_score,v_score,mid_aurora,fair_a,gap
1789924251.056856,1,0,0.275,0.748,-0.473
1789924251.057361,1,0,,0.748,
1789924251.064963,1,0,0.275,0.748,-0.473
1789924251.065971,1,0,,0.748,
1789924252.067645,1,0,0.28,0.748,-0.468
1789924252.068149,1,0,,0.748,
1789924252.068651,1,0,0.28,0.748,-0.468
1789924252.069153,1,0,,0.748,
1789924253.072824,1,0,0.28500000000000003,0.748,-0.463
1789924253.073329,1,0,,0.748,
1789924254.060441,1,0,0.27,0.748,-0.478
1789924254.060947,1,0,,0.748,
1789924255.059959,1,0,0.27,0.748,-0.478
1789924255.060462,1,0,,0.748,
1789924276.067313,1,0,0.27,0.748,-0.478
1789924278.062901,1,0,0.27,0.748,-0.478
1789924278.063899,1,0,,0.748,
1789924285.062809,1,0,0.265,0.748,-0.483
1789924285.063822,1,0,,0.748,
1789924286.061057,1,0,0.27,0.748,-0.478
1789924286.061561,1,0,,0.748,
1789924287.062313,1,0,0.265,0.748,-0.483
1789924287.062817,1,0,,0.748,
1789924287.086685,1,0,0.265,0.748,-0.483
1789924287.087189,1,0,,0.748,
1789924288.061544,1,0,0.265,0.748,-0.483
1789924288.062049,1,0,,0.748,
1789924288.074269,1,0,0.27,0.748,-0.478
1789924288.074774,1,0,,0.748,
1789924289.060143,1,0,0.275,0.748,-0.473
1789924289.060648,1,0,,0.748,
1789924291.068744,1,0,0.275,0.748,-0.473
1789924291.069252,1,0,,0.748,
1789924303.073131,1,0,0.27,0.748,-0.478
1789924303.073638,1,0,,0.748,
1789924304.058253,1,0,0.27,0.748,-0.478
1789924304.058755,1,0,,0.748,
1789924305.059146,1,0,0.26,0.748,-0.488
1789924305.090539,1,0,0.26,0.748,-0.488
1789924310.579485,1,0,0.265,0.748,-0.483
1789924310.579992,1,0,,0.748,
1789924317.059727,1,0,0.265,0.748,-0.483
1789924317.060235,1,0,,0.748,
1789924329.060585,1,0,0.265,0.748,-0.483
1789924329.061092,1,0,,0.748,
1789924359.059522,2,0,0.29000000000000004,0.79,-0.5
1789924359.060025,2,0,,0.79,
1789924361.142938,2,0,0.345,0.79,-0.445
1789924361.143444,2,0,,0.79,
1789924361.173383,2,0,0.33999999999999997,0.79,-0.45
1789924361.173889,2,0,,0.79,
1789924363.057963,2,0,0.345,0.79,-0.445
1789924363.058969,2,0,,0.79,
1789924366.064403,2,0,0.355,0.79,-0.435
1789924366.065412,2,0,,0.79,
1789924384.056932,2,0,0.365,0.79,-0.425
1789924384.057437,2,0,,0.79,
1789924384.061987,2,0,0.365,0.79,-0.425
1789924384.062491,2,0,,0.79,
1789924384.21549,2,0,0.385,0.79,-0.405
1789924384.215992,2,0,,0.79,
1789924394.060252,2,0,0.38,0.79,-0.41
1789924394.061267,2,0,,0.79,
1789924395.082121,2,0,0.38,0.79,-0.41
1789924395.082625,2,0,,0.79,
1789924395.097294,2,0,0.38,0.79,-0.41
1789924395.241004,2,0,,0.79,
1789924395.242051,2,0,0.385,0.79,-0.405
1789924395.242555,2,0,,0.79,
1789924395.247102,2,0,0.385,0.79,-0.405
1789924395.693136,2,0,,0.79,
1789924397.064393,2,0,0.38,0.79,-0.41
1789924397.064899,2,0,,0.79,
1789924397.065903,2,0,0.385,0.79,-0.405
1789924397.222845,2,0,,0.79,
1789924406.060924,2,0,0.4,0.79,-0.39
1789924406.061427,2,0,,0.79,
1789924407.056808,2,0,0.4,0.79,-0.39
1789924407.057815,2,0,,0.79,
1789924410.072587,2,0,0.375,0.79,-0.415
1789924410.18502,2,0,,0.79,
1789924419.061079,2,0,0.39,0.79,-0.4
1789924419.061586,2,0,,0.79,
1789924420.061385,2,0,0.4,0.79,-0.39
1789924420.061891,2,0,,0.79,
1789924422.061842,2,0,0.41500000000000004,0.79,-0.375
1789924425.059613,2,0,0.425,0.79,-0.365
1789924425.060122,2,0,,0.79,
1789924425.075373,2,0,0.425,0.79,-0.365
1789924425.077906,2,0,,0.79,
1789924426.058904,2,0,0.425,0.79,-0.365
1789924426.059412,2,0,,0.79,
1789924427.061169,2,0,0.43,0.79,-0.36
1789924427.061675,2,0,,0.79,
1789924431.05965,2,0,0.455,0.79,-0.335
1789924431.060155,2,0,,0.79,
1789924433.057847,2,0,0.455,0.79,-0.335
1789924439.056959,2,0,0.46499999999999997,0.79,-0.325
1789924439.057466,2,0,,0.79,
1789924441.077379,2,0,0.45999999999999996,0.79,-0.33
1789924441.077885,2,0,,0.79,
1789924443.084539,2,0,0.415,0.79,-0.375
1789924443.371017,2,0,,0.79,
1789924446.059731,2,0,0.43999999999999995,0.79,-0.35
1789924449.059665,2,0,0.445,0.79,-0.345
1789924449.060173,2,0,,0.79,
1789924457.0677,2,0,0.44,0.79,-0.35
1789924457.068208,2,0,,0.79,
1789924466.056132,2,0,0.44999999999999996,0.79,-0.34
1789924466.056637,2,0,,0.79,
1789924469.095802,2,0,0.44999999999999996,0.79,-0.34
1789924469.114991,2,0,,0.79,
1789924471.058674,2,0,0.44999999999999996,0.79,-0.34
1789924472.059715,2,0,0.44999999999999996,0.79,-0.34
1789924478.070452,2,0,0.44999999999999996,0.79,-0.34
1789924478.070959,2,0,,0.79,
1789924478.12578,2,0,0.435,0.79,-0.355
1789924478.194728,2,0,,0.79,
1789924480.316596,2,0,0.44,0.79,-0.35
1789924480.317104,2,0,,0.79,
1789924483.057009,2,0,0.43,0.79,-0.36
1789924483.057516,2,0,,0.79,
1789924485.064067,2,0,0.44999999999999996,0.79,-0.34
1789924485.363476,2,0,,0.79,
1789924489.061257,2,0,0.44499999999999995,0.79,-0.345
1789924489.061764,2,0,,0.79,
1789924496.056769,2,0,0.46499999999999997,0.79,-0.325
1789924496.057277,2,0,,0.79,
1789924498.060021,2,0,0.44999999999999996,0.79,-0.34
1789924498.060528,2,0,,0.79,
1789924500.061443,2,0,0.445,0.79,-0.345
1789924500.061947,2,0,,0.79,
1789924502.303105,2,0,0.44999999999999996,0.79,-0.34
1789924502.33259,2,0,,0.79,
1789924505.060989,2,0,0.44,0.79,-0.35
1789924505.061498,2,0,,0.79,
1789924506.132277,2,0,0.44,0.79,-0.35
1789924508.05983,2,0,0.43,0.79,-0.36
1789924508.060334,2,0,,0.79,
1789924514.063601,2,0,0.435,0.79,-0.355
1789924516.059043,2,0,0.44499999999999995,0.79,-0.345
1789924516.059549,2,0,,0.79,
1789924535.105591,2,0,0.48,0.79,-0.31
1789924535.120785,2,0,,0.79,
1789924535.137552,2,0,0.485,0.79,-0.305
1789924535.209126,2,0,,0.79,
1789924536.058081,2,0,0.505,0.79,-0.285
1789924536.112944,2,0,,0.79,
1789924537.313104,2,0,0.505,0.79,-0.285
1789924537.313608,2,0,,0.79,
1789924539.057877,2,0,0.505,0.79,-0.285
1789924539.05839,2,0,,0.79,
1789924541.060186,2,0,0.525,0.79,-0.265
1789924541.061697,2,0,,0.79,
1789924544.060518,2,0,0.525,0.79,-0.265
1789924544.264001,2,0,,0.79,
1789924545.067263,2,0,0.525,0.79,-0.265
1789924558.089335,2,0,0.525,0.79,-0.265
1789924558.094937,2,0,,0.79,
1789924563.061079,2,0,0.535,0.79,-0.255
1789924563.061594,2,0,,0.79,
1789924566.07744,2,0,0.55,0.79,-0.24
1789924566.077946,2,0,,0.79,
1789924581.057925,2,0,0.535,0.79,-0.255
1789924581.058431,2,0,,0.79,
1789924584.065999,2,0,0.535,0.79,-0.255
1789924584.066507,2,0,,0.79,
1789924584.082329,2,0,0.54,0.79,-0.25
1789924585.062666,2,0,0.535,0.79,-0.255
1789924585.063678,2,0,,0.79,
1789924585.070778,2,0,0.52,0.79,-0.27
1789924585.071338,2,0,,0.79,
1789924590.063288,2,0,0.52,0.79,-0.27
1789924595.063654,2,0,0.525,0.79,-0.265
1789924595.064159,2,0,,0.79,
1789924597.055693,2,0,0.525,0.79,-0.265
1789924599.063899,2,0,0.515,0.79,-0.275
1789924599.064405,2,0,,0.79,
1789924599.068459,2,0,0.515,0.79,-0.275
1789924599.219886,2,0,,0.79,
1789924601.059275,2,0,0.545,0.79,-0.245
1789924601.05978,2,0,,0.79,
1789924602.056045,2,0,0.545,0.79,-0.245
1789924602.056554,2,0,,0.79,
1789924603.057063,2,0,0.545,0.79,-0.245
1789924604.059533,2,0,0.545,0.79,-0.245
1789924604.060038,2,0,,0.79,
1789924606.056934,2,0,0.545,0.79,-0.245
1789924606.057444,2,0,,0.79,
1789924607.060762,2,0,0.555,0.79,-0.235
1789924608.086135,2,0,0.555,0.79,-0.235
1789924608.086642,2,0,0.555,0.79,-0.235
1789924608.087148,2,0,,0.79,
1789924608.087657,2,0,0.55,0.79,-0.24
1789924608.088241,2,0,,0.79,
1789924608.09787,2,0,0.55,0.79,-0.24
1789924609.060378,2,0,0.545,0.79,-0.245
1789924609.060881,2,0,,0.79,
1789924610.060646,2,0,0.545,0.79,-0.245
1789924610.061156,2,0,,0.79,
1789924610.0652,2,0,0.545,0.79,-0.245
1789924612.059441,2,0,0.555,0.79,-0.235
1789924612.059946,2,0,,0.79,
1789924613.062294,2,0,0.555,0.79,-0.235
1789924613.062801,2,0,,0.79,
1789924613.063306,2,0,0.555,0.79,-0.235
1789924613.063809,2,0,0.555,0.79,-0.235
