bout,recv,old,new,event,latency_s
3,1789913271.481913,0.645,0.365,none,
3,1789924216.183142,0.29,0.245,kill(Vitality),-0.55
3,1789924221.141627,0.245,0.28,kill(Vitality),-0.4
3,1789924361.142938,0.29,0.345,round_end(CT),-7.99
3,1789924443.084539,0.46,0.415,kill(Aurora),-8.37
3,1789924535.105591,0.445,0.48,none,
3,1789924601.059275,0.515,0.545,none,
3,1789924662.098345,0.51,0.545,kill(Vitality),4.11
3,1789924817.06426,0.485,0.45,kill(Vitality),8.7
3,1789924882.057678,0.445,0.495,round_start,-4.91
3,1789924917.075483,0.525,0.56,kill(Aurora),-0.32
3,1789925036.13571,0.565,0.51,none,
3,1789925270.056269,0.385,0.425,none,
3,1789925274.057306,0.44,0.475,kill(Aurora),14.32
3,1789925281.062808,0.485,0.445,kill(Aurora),7.32
3,1789925295.346645,0.425,0.37,kill(Aurora),-6.97
3,1789925382.055274,0.365,0.33,none,
3,1789925655.20642,0.26,0.23,round_start,13.14
