event_id,round_num,streak_team,fade_team,kill_count,event_start_ts,decision_ts,entry_quote_ts,reaction_mid_change,reaction_threshold,triggered,entry_ask,timing_basis,horizon_seconds,exit_quote_ts,exit_bid,gross_pnl,net_pnl
10,11,MOUZ,NRG,2,1789640480.708,1789640483.669,1789640485.800617,0.0,0.03,False,0.45,source_update_version,15.0,1789640502.2434037,0.41,-0.040000000000000036,-0.06447000000000004
10,11,MOUZ,NRG,2,1789640480.708,1789640483.669,1789640485.800617,0.0,0.03,False,0.45,source_update_version,30.0,1789640517.993616,0.4,-0.04999999999999999,-0.074375
10,11,MOUZ,NRG,2,1789640480.708,1789640483.669,1789640485.800617,0.0,0.03,False,0.45,source_update_version,60.0,1789640545.8079052,0.36,-0.09000000000000002,-0.11389500000000002
10,11,MOUZ,NRG,2,1789640480.708,1789640483.669,1789640485.800617,0.0,0.03,False,0.45,source_update_version,120.0,1789640618.9986804,0.37,-0.08000000000000002,-0.10403000000000001
11,12,MOUZ,NRG,2,1789640538.822,1789640540.884,1789640544.2810133,0.0050000000000000044,0.03,False,0.39,source_update_version,15.0,1789640561.242704,0.35,-0.040000000000000036,-0.06327000000000003
11,12,MOUZ,NRG,2,1789640538.822,1789640540.884,1789640544.2810133,0.0050000000000000044,0.03,False,0.39,source_update_version,30.0,1789640574.66065,0.34,-0.04999999999999999,-0.07311499999999999
11,12,MOUZ,NRG,2,1789640538.822,1789640540.884,1789640544.2810133,0.0050000000000000044,0.03,False,0.39,source_update_version,60.0,1789640618.9986804,0.37,-0.020000000000000018,-0.04355000000000002
11,12,MOUZ,NRG,2,1789640538.822,1789640540.884,1789640544.2810133,0.0050000000000000044,0.03,False,0.39,source_update_version,120.0,1789640666.9340346,0.34,-0.04999999999999999,-0.07311499999999999
12,12,MOUZ,NRG,3,1789640560.139,1789640561.992,1789640565.1049936,0.010000000000000009,0.03,False,0.37,source_update_version,15.0,1789640580.5325098,0.38,0.010000000000000009,-0.013434999999999992
12,12,MOUZ,NRG,3,1789640560.139,1789640561.992,1789640565.1049936,0.010000000000000009,0.03,False,0.37,source_update_version,30.0,1789640618.9986804,0.37,0.0,-0.023309999999999997
12,12,MOUZ,NRG,3,1789640560.139,1789640561.992,1789640565.1049936,0.010000000000000009,0.03,False,0.37,source_update_version,60.0,1789640654.0349522,0.35,-0.020000000000000018,-0.04303000000000001
12,12,MOUZ,NRG,3,1789640560.139,1789640561.992,1789640565.1049936,0.010000000000000009,0.03,False,0.37,source_update_version,120.0,1789640686.9999895,0.41,0.03999999999999998,0.01624999999999998
