mid,entry,y
hltv-2389651-103966,0.76,1
hltv-2389653-103979,0.58,0
hltv-2389656-103994,0.91,1
hltv-2389948-104317,0.41,1
hltv-2389956-104371,0.905,1
hltv-2389958-104377,0.635,1
hltv-2389959-104390,0.545,1
hltv-2389961-104404,0.68,0
hltv-2389964-104425,0.425,1
hltv-2389965-104434,0.57,0
hltv-2389972-104462,0.65,1
hltv-2389975-104482,0.35,1
hltv-2389977-104519,0.39,0
hltv-2389978-104525,0.355,0
hltv-2389980-104594,0.555,0
hltv-2391140-105700,0.845,1
hltv-2391761-105949,0.645,1
hltv-2391773-106290,0.895,1
hltv-2391774-106313,0.61,0
hltv-2393084-107112,0.335,1
hltv-2393086-107114,0.835,1
hltv-2393088-107115,0.665,1
hltv-2393225-107127,0.485,1
hltv-2393228-107138,0.855,1
hltv-2393229-107137,0.295,1
hltv-2393232-107149,0.755,0
hltv-2393233-107147,0.475,1
hltv-2393234-107153,0.465,1
hltv-2393333-107598,0.765,1
hltv-2393334-107607,0.185,1
hltv-2393335-107611,0.675,1
hltv-2393336-107614,0.665,1
hltv-2393346-107656,0.565,1
hltv-2393347-107661,0.365,1
hltv-2393349-107699,0.885,1
hltv-2394110-107912,0.47,0
hltv-2394111-107920,0.505,0
hltv-2394112-107922,0.295,1
hltv-2394115-107924,0.805,1
hltv-2394116-107828,0.385,0
hltv-2394118-107831,0.675,1
hltv-2394124-107855,0.425,1
hltv-2394125-107854,0.255,0
hltv-2394127-107860,0.67,1
hltv-2394128-107867,0.325,0
hltv-2394132-107892,0.88,1
hltv-2394133-107891,0.37,0
hltv-2394139-107907,0.695,1
hltv-2394140-107930,0.655,1
hltv-2394141-107929,0.455,1
hltv-2394143-107936,0.865,1
hltv-2394147-107971,0.925,1
hltv-2394149-108024,0.915,0
hltv-2394151-108031,0.425,1
hltv-2394159-107950,0.305,0
hltv-2394160-107951,0.725,1
hltv-2394161-107961,0.795,1
hltv-2394162-107963,0.28,0
hltv-2394164-107966,0.605,1
hltv-2394165-107988,0.41,1
hltv-2394167-107993,0.54,0
hltv-2394171-108002,0.78,0
hltv-2394172-108000,0.825,1
hltv-2394854-108693,0.795,1
hltv-2394856-108703,0.165,0
hltv-2394857-108705,0.655,1
hltv-2394858-108709,0.79,1
hltv-2394861-108714,0.59,1
hltv-2394863-108727,0.73,1
hltv-2394886-108783,0.61,1
hltv-2394887-108793,0.585,1
hltv-2394889-108803,0.375,1
hltv-2394890-108804,0.655,1
hltv-2394891-108807,0.41,1
hltv-2394892-108806,0.94,1
hltv-2394893-108809,0.86,1
hltv-2394896-108829,0.175,0
hltv-2394899-108862,0.555,0
hltv-2394900-108864,0.915,1
hltv-2394901-108860,0.205,0
hltv-2394903-108851,0.9,1
hltv-2394974-108877,0.435,0
hltv-2394976-108879,0.815,1
hltv-2394979-108913,0.39,1
hltv-2394980-108910,0.715,0
hltv-2394982-108924,0.355,0
hltv-2394983-108931,0.755,1
hltv-2394985-108937,0.565,1
hltv-2394990-108964,0.45,1
hltv-2394991-108975,0.805,1
hltv-2396017-109861,0.585,1
hltv-2396019-109924,0.785,1
hltv-2396021-109950,0.565,1
hltv-2396584-110273,0.715,1
hltv-2396597-110342,0.265,1
hltv-2396609-110456,0.385,1
hltv-2396610-110462,0.435,1
