mid,dm2,joff,e_m2,e0,e2,e5,e10,l0,l5,final,y
hltv-2389651-103966,-8,-0.0,0.685,0.76,0.69,0.605,0.465,0.235,0.39,0.9995,1
hltv-2389653-103979,-8,-0.4,0.53,0.42,0.45,0.38,0.44,0.58,0.62,0.9995,1
hltv-2389656-103994,-3,-0.6,0.885,0.91,0.87,0.77,0.805,0.09,0.23,0.9995,1
hltv-2389948-104317,2,0.1,0.385,0.41,0.485,0.59,0.695,0.59,0.41,0.9995,1
hltv-2389956-104371,-1,0.1,0.925,0.905,0.965,0.9565,0.975,0.095,0.0435,0.9995,1
hltv-2389958-104377,-7,-0.2,0.4,0.635,0.54,0.47,0.74,0.365,0.53,0.9995,1
hltv-2389959-104390,-8,0.2,0.59,0.545,0.415,0.39,0.55,0.455,0.61,0.9995,1
hltv-2389961-104404,-4,0.3,0.205,0.32,0.355,0.445,0.425,0.68,0.555,0.9995,1
hltv-2389964-104425,-6,-0.6,0.48,0.425,0.54,0.64,0.61,0.575,0.36,0.9995,1
hltv-2389965-104434,-9,-0.3,0.595,0.43,0.69,0.665,0.755,0.57,0.27,0.9995,1
hltv-2389972-104462,7,0.2,0.625,0.65,0.565,0.58,0.78,0.35,0.415,0.9995,1
hltv-2389975-104482,-3,0.5,0.33,0.35,0.47,0.565,0.525,0.65,0.435,0.9995,1
hltv-2389977-104519,-7,-0.2,0.57,0.61,0.645,0.715,0.695,0.39,0.285,0.9995,1
hltv-2389978-104525,-4,0.2,0.52,0.645,0.435,0.61,0.745,0.355,0.385,0.9995,1
hltv-2389980-104594,-3,-0.3,0.41,0.445,0.36,0.43,0.62,0.555,0.57,0.9995,1
hltv-2391140-105700,-5,0.0,0.865,0.845,0.795,0.725,0.885,0.155,0.275,0.9995,1
hltv-2391761-105949,-5,-0.1,0.67,0.645,0.745,0.81,0.675,0.355,0.19,0.9995,1
hltv-2391773-106290,-6,0.7,0.915,0.895,0.925,0.92,0.975,0.105,0.065,0.9995,1
hltv-2391774-106313,2,-0.1,0.47,0.395,0.575,0.695,0.59,0.61,0.305,0.9995,1
hltv-2393084-107112,26,-0.7,0.3,0.335,0.445,0.275,0.405,0.665,0.735,0.9995,1
hltv-2393086-107114,-3,-0.3,0.775,0.835,0.85,0.885,0.965,0.165,0.115,0.9995,1
hltv-2393088-107115,-7,0.2,0.66,0.665,0.615,0.66,0.46,0.335,0.34,0.9995,1
hltv-2393225-107127,-7,-0.4,0.575,0.485,0.475,0.595,0.775,0.515,0.405,0.9995,1
hltv-2393228-107138,-6,0.4,0.795,0.855,0.865,0.915,0.895,0.145,0.085,0.9995,1
hltv-2393229-107137,-8,0.1,0.405,0.295,0.28,0.335,0.17,0.705,0.665,0.9995,1
hltv-2393232-107149,-6,-0.2,0.275,0.245,0.395,0.465,0.625,0.755,0.545,0.9995,1
hltv-2393233-107147,-6,0.0,0.475,0.475,0.47,0.54,0.72,0.525,0.465,0.9995,1
hltv-2393234-107153,0,0.3,0.385,0.465,0.405,0.53,0.605,0.535,0.47,0.9995,1
hltv-2393333-107598,-5,0.4,0.635,0.765,0.835,0.765,0.795,0.235,0.235,0.9995,1
hltv-2393334-107607,31,-0.5,0.4235,0.185,0.6115,0.7455,0.976,0.815,0.2545,0.9995,1
hltv-2393335-107611,-8,-0.3,0.725,0.675,0.585,0.685,0.865,0.325,0.315,0.9995,1
hltv-2393336-107614,-2,0.3,0.72,0.665,0.56,0.65,0.685,0.335,0.35,0.9995,1
hltv-2393346-107656,25,-0.0,0.795,0.565,0.53,0.695,0.695,0.435,0.305,0.9995,1
hltv-2393347-107661,-4,-0.4,0.265,0.365,0.305,0.205,0.365,0.635,0.795,0.9995,1
hltv-2393349-107699,-3,-0.4,0.925,0.885,0.94,0.94,0.986,0.12,0.06,0.9995,1
hltv-2394110-107912,-6,0.5,0.46,0.53,0.63,0.675,0.865,0.47,0.325,0.9995,1
hltv-2394111-107920,-8,0.3,0.625,0.495,0.475,0.515,0.285,0.505,0.485,0.9995,1
hltv-2394112-107922,18,0.1,0.175,0.295,0.325,0.275,0.355,0.705,0.725,0.9995,1
hltv-2394115-107924,-4,-0.0,0.735,0.805,0.755,0.645,0.735,0.195,0.35,0.9995,1
hltv-2394116-107828,-7,-0.0,0.535,0.58,0.68,0.72,0.45,0.385,0.42,0.9995,1
hltv-2394118-107831,-5,0.0,0.665,0.675,0.745,0.735,0.81,0.325,0.26,0.9995,1
hltv-2394124-107855,-2,0.5,0.405,0.425,0.505,0.53,0.525,0.575,0.47,0.9995,1
hltv-2394125-107854,-8,-0.2,0.725,0.745,0.765,0.845,0.885,0.255,0.155,0.9995,1
hltv-2394127-107860,0,-0.2,0.615,0.67,0.695,0.815,0.885,0.33,0.195,0.9995,1
hltv-2394128-107867,-8,0.4,0.49,0.675,0.705,0.765,0.705,0.325,0.235,0.9995,1
hltv-2394132-107892,-6,0.4,0.895,0.88,0.87,0.905,0.945,0.115,0.095,0.9995,1
hltv-2394133-107891,-6,0.3,0.595,0.63,0.705,0.76,0.905,0.37,0.24,0.9995,1
hltv-2394139-107907,4,0.5,0.605,0.695,0.75,0.715,0.625,0.305,0.285,0.9995,1
hltv-2394140-107930,-6,0.4,0.755,0.655,0.555,0.665,0.675,0.345,0.335,0.9995,1
hltv-2394141-107929,0,-0.4,0.35,0.455,0.605,0.535,0.565,0.545,0.465,0.9995,1
hltv-2394143-107936,-6,0.4,0.835,0.865,0.88,0.92,0.885,0.135,0.08,0.9995,1
hltv-2394147-107971,-8,-0.1,0.875,0.925,0.915,0.92,0.975,0.075,0.08,0.9995,1
hltv-2394149-108024,-5,0.0,0.125,0.085,0.11,0.185,0.105,0.915,0.815,0.9995,1
hltv-2394151-108031,-6,-0.6,0.345,0.425,0.495,0.555,0.575,0.575,0.445,0.9995,1
hltv-2394159-107950,-7,-0.2,0.715,0.695,0.705,0.83,0.965,0.305,0.17,0.9995,1
hltv-2394160-107951,-7,0.0,0.74,0.725,0.735,0.835,0.925,0.275,0.165,0.9995,1
hltv-2394161-107961,-4,0.1,0.855,0.795,0.845,0.79,0.93,0.205,0.21,0.9995,1
hltv-2394162-107963,-7,-0.5,0.675,0.72,0.775,0.76,0.775,0.28,0.24,0.9995,1
hltv-2394164-107966,-8,-0.3,0.475,0.605,0.69,0.785,0.62,0.395,0.215,0.9995,1
hltv-2394165-107988,-7,-0.2,0.33,0.41,0.305,0.295,0.195,0.595,0.71,0.9995,1
hltv-2394167-107993,-8,0.1,0.355,0.46,0.375,0.365,0.515,0.54,0.635,0.9995,1
hltv-2394171-108002,-3,0.1,0.235,0.225,0.255,0.435,0.495,0.78,0.575,0.9995,1
hltv-2394172-108000,-8,0.3,0.775,0.825,0.825,0.92,0.835,0.175,0.08,0.9995,1
hltv-2394854-108693,-4,0.5,0.785,0.795,0.67,0.595,0.495,0.205,0.405,0.9995,1
hltv-2394856-108703,18,0.1,0.885,0.825,0.74,0.735,0.94,0.165,0.265,0.9995,1
