mid,lag,entry_p,y,won_r1,won_r13,dm,t13
hltv-2389651-103966,1,0.445,1,1,1,2,2026-02-02 13:22:15.849999999+00:00
hltv-2389653-103979,1,0.62,0,0,0,-1,2026-02-02 18:38:39.450000+00:00
hltv-2389656-103994,1,0.865,1,1,1,9,2026-02-03 13:28:50.830000+00:00
hltv-2389948-104317,1,0.585,1,0,0,4,2026-02-14 08:50:05.909999999+00:00
hltv-2389956-104371,1,0.966,1,1,1,5,2026-02-15 08:44:04.840000+00:00
hltv-2389958-104377,1,0.67,1,1,1,0,2026-02-15 10:41:27.750000+00:00
hltv-2389959-104390,1,0.55,1,0,0,0,2026-02-15 14:10:00.120000+00:00
hltv-2389961-104404,1,0.455,0,1,1,1,2026-02-15 18:01:55.609999997+00:00
hltv-2389964-104425,1,0.73,1,1,1,4,2026-02-16 08:21:09.190000+00:00
hltv-2389965-104434,1,0.285,0,1,1,-2,2026-02-16 11:58:32.450000+00:00
hltv-2389972-104462,1,0.745,1,0,0,20,2026-02-17 10:38:03.050000+00:00
hltv-2389975-104482,1,0.47,1,1,1,2,2026-02-17 15:49:50.210000+00:00
hltv-2389977-104519,1,0.305,0,0,0,1,2026-02-18 10:21:32.620000+00:00
hltv-2389978-104525,1,0.475,0,0,0,8,2026-02-18 12:33:59.460000+00:00
hltv-2389980-104594,1,0.565,0,1,1,8,2026-02-20 08:26:35.220000+00:00
hltv-2391140-105700,1,0.865,1,0,0,1,2026-03-15 12:51:37+00:00
hltv-2391761-105949,1,0.755,1,1,1,1,2026-03-21 19:07:31.160000+00:00
hltv-2391773-106290,1,0.945,1,0,0,-1,2026-03-28 14:28:46.270000+00:00
hltv-2391774-106313,1,0.385,0,0,0,3,2026-03-28 17:12:37.330000+00:00
hltv-2393084-107112,1,0.4,1,1,1,0,2026-04-13 16:34:17.500000+00:00
hltv-2393086-107114,1,0.975,1,1,1,7,2026-04-13 18:22:04.400000+00:00
hltv-2393088-107115,1,0.46,1,1,1,1,2026-04-13 18:45:35.470000+00:00
hltv-2393225-107127,1,0.775,1,0,0,1,2026-04-14 13:20:12.009999999+00:00
hltv-2393228-107138,1,0.875,1,0,0,0,2026-04-14 18:46:10.659999999+00:00
hltv-2393229-107137,1,0.17,1,0,0,0,2026-04-14 18:41:34.910000+00:00
hltv-2393232-107149,1,0.44,0,1,1,1,2026-04-15 13:23:46.580000+00:00
hltv-2393233-107147,1,0.7,1,0,0,1,2026-04-15 13:23:37.629999999+00:00
hltv-2393234-107153,1,0.57,1,1,1,7,2026-04-15 16:26:31.310000+00:00
hltv-2393333-107598,1,0.795,1,1,1,3,2026-04-30 15:21:40.620000+00:00
hltv-2393334-107607,1,0.9355,1,1,1,41,2026-04-30 17:59:35.329999999+00:00
hltv-2393335-107611,1,0.845,1,0,0,7,2026-04-30 20:54:24.970000+00:00
hltv-2393336-107614,1,0.875,1,0,0,10,2026-04-30 23:39:45.940000+00:00
hltv-2393346-107656,1,0.705,1,0,0,36,2026-05-01 20:25:06.100000+00:00
hltv-2393347-107661,1,0.315,1,1,1,0,2026-05-02 00:13:30.900000+00:00
hltv-2393349-107699,1,0.986,1,1,1,5,2026-05-02 20:25:29.270000+00:00
hltv-2394110-107912,1,0.225,0,0,0,13,2026-05-11 16:02:37.170000+00:00
hltv-2394111-107920,1,0.785,0,1,1,2,2026-05-11 18:56:46.660000+00:00
hltv-2394112-107922,1,0.275,1,1,1,2,2026-05-11 20:50:55.469999999+00:00
hltv-2394115-107924,1,0.835,1,1,1,6,2026-05-11 23:23:07.040000+00:00
hltv-2394116-107828,1,0.55,0,1,1,0,2026-05-09 05:18:05.020000+00:00
hltv-2394118-107831,1,0.835,1,0,0,6,2026-05-09 07:32:03.230000+00:00
hltv-2394124-107855,1,0.445,1,1,1,2,2026-05-10 05:22:32.189999999+00:00
hltv-2394125-107854,1,0.205,0,0,0,4,2026-05-10 05:23:17.180000+00:00
hltv-2394127-107860,1,0.765,1,1,1,1,2026-05-10 08:39:21.760000+00:00
hltv-2394128-107867,1,0.24,0,0,0,1,2026-05-10 11:38:42.710000+00:00
hltv-2394132-107892,1,0.935,1,1,1,0,2026-05-11 05:21:50.239999998+00:00
hltv-2394133-107891,1,0.055,0,0,0,6,2026-05-11 05:25:52.650000+00:00
hltv-2394139-107907,1,0.79,1,0,0,14,2026-05-11 13:27:34.840000+00:00
hltv-2394140-107930,1,0.475,1,0,0,1,2026-05-12 05:22:42.610000+00:00
hltv-2394141-107929,1,0.6,1,0,0,15,2026-05-12 05:33:28.850000+00:00
hltv-2394143-107936,1,0.885,1,1,1,2,2026-05-12 08:19:36.630000+00:00
hltv-2394147-107971,1,0.9845,1,1,1,4,2026-05-13 07:53:11.349999999+00:00
hltv-2394149-108024,1,0.865,0,1,1,1,2026-05-15 05:40:05.580000+00:00
hltv-2394151-108031,1,0.575,1,0,0,2,2026-05-15 12:07:40.160000+00:00
hltv-2394159-107950,1,0.125,0,1,1,-1,2026-05-12 15:46:18.310000+00:00
hltv-2394160-107951,1,0.915,1,0,0,1,2026-05-12 15:49:08.610000+00:00
hltv-2394161-107961,1,0.805,1,0,0,0,2026-05-12 21:26:59.860000+00:00
hltv-2394162-107963,1,0.25,0,1,1,0,2026-05-13 00:17:33.300000+00:00
hltv-2394164-107966,1,0.535,1,0,0,2,2026-05-13 01:35:27.309999999+00:00
hltv-2394165-107988,1,0.315,1,1,1,3,2026-05-13 15:53:20.150000+00:00
hltv-2394167-107993,1,0.505,0,0,0,-1,2026-05-13 18:17:56.520000+00:00
