match_id,outcome_a,outcome_b,mapping_src
hltv-2389651-103966,Aurora Gaming,MOUZ,market_resolution
hltv-2389652-103972,NRG,Team Falcons,market_resolution
hltv-2389653-103979,FURIA,Natus Vincere,market_resolution
hltv-2389654-103977,Astralis,FUT Esports,market_resolution
hltv-2389656-103994,Team Falcons,3DMAX,market_resolution
hltv-2389657-104002,FURIA,Astralis,market_resolution
hltv-2389947-104312,Astralis,Natus Vincere,market_resolution
hltv-2389948-104317,Aurora Gaming,FUT Esports,market_resolution
hltv-2389952-104340,Team Falcons,3DMAX,market_resolution
hltv-2389956-104371,Astralis,3DMAX,market_resolution
hltv-2389958-104377,G2,PARIVISION,market_resolution
hltv-2389959-104390,FURIA,FUT Esports,market_resolution
hltv-2389960-104385,Aurora Gaming,paiN,market_resolution
hltv-2389961-104404,Vitality,TheMongolz,market_resolution
hltv-2389963-104429,Aurora Gaming,Natus Vincere,market_resolution
hltv-2389964-104425,FaZe,PARIVISION,market_resolution
hltv-2389965-104434,B8,TheMongolz,market_resolution
hltv-2389966-104430,Astralis,FUT Esports,market_resolution
hltv-2389972-104462,FaZe,Astralis,market_resolution
hltv-2389974-104468,Aurora Gaming,B8,market_resolution
hltv-2389975-104482,FURIA,PARIVISION,market_resolution
hltv-2389977-104519,Aurora Gaming,Astralis,market_resolution
hltv-2389978-104525,PARIVISION,FUT Esports,market_resolution
hltv-2389979-104530,G2,Natus Vincere,market_resolution
hltv-2389980-104594,Team Falcons,PARIVISION,market_resolution
hltv-2389984-104660,PARIVISION,MOUZ,market_resolution
hltv-2390811-105805,NRG,Team Falcons,market_resolution
hltv-2391140-105700,Astralis,FUT Esports,market_resolution
hltv-2391758-105904,FURIA,Aurora Gaming,market_resolution
hltv-2391761-105949,PARIVISION,Spirit,market_resolution
hltv-2391771-106232,Aurora Gaming,TheMongolz,market_resolution
hltv-2391773-106290,Aurora Gaming,Vitality,market_resolution
hltv-2391774-106313,Natus Vincere,PARIVISION,market_resolution
