match_id,key,map_name,arm_trigger,team_bought,side_bought,entry_src,entry_t,entry_p,p_cal,composite,strong_side,pred_side,pistol_won,p_mapwin_bought,t_pistol_market,clock_delta_min,exit_t_v1,exit_p_v1,pnl_v1_raw,exit_p_v1_plateau,arm_v3,exit_mode_v3,exit_t_v3,exit_p_v3,pnl_v3_raw,rebound_r2_won,lag_scan,pnl_v1_cost03,pnl_v1_fee,pnl_v3_cost03,pnl_v3_fee
hltv-2389653-103979,hltv_2389653_103979_furia_vs_natus_vincere_m1_mirage,de_mirage,strict,FURIA,a,prematch,2026-02-02 18:16:13+00:00,0.495,0.6617481987312879,0.8385172741957025,a,a,False,,2026-02-02 18:19:30.610000+00:00,-1,2026-02-02 18:20:15+00:00,0.44,-0.05499999999999999,0.39,v3_quick,pistol_end,2026-02-02 18:20:15+00:00,0.44,-0.05499999999999999,,"{-2: -0.0050000000000000044, -1: -0.0050000000000000044, 0: -0.05499999999999999, 1: -0.10499999999999998, 2: -0.185}",-0.08499999999999999,-0.07981875,-0.08499999999999999,-0.07981875
hltv-2389653-103979,hltv_2389653_103979_furia_vs_natus_vincere_m1_mirage,de_mirage,relaxed,FURIA,a,prematch,2026-02-02 18:16:13+00:00,0.495,0.6617481987312879,0.8385172741957025,a,a,False,,2026-02-02 18:19:30.610000+00:00,-1,2026-02-02 18:20:15+00:00,0.44,-0.05499999999999999,0.39,v3_quick,pistol_end,2026-02-02 18:20:15+00:00,0.44,-0.05499999999999999,,"{-2: -0.0050000000000000044, -1: -0.0050000000000000044, 0: -0.05499999999999999, 1: -0.10499999999999998, 2: -0.185}",-0.08499999999999999,-0.07981875,-0.08499999999999999,-0.07981875
hltv-2389656-103994,hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,de_anubis,strict,Team Falcons,a,prematch,2026-02-03 13:06:15+00:00,0.81,0.7479787925583469,1.0870787375509148,a,a,True,,2026-02-03 13:09:50.120000+00:00,9,2026-02-03 13:10:14+00:00,0.885,0.07499999999999996,0.91,v3_win_pop,pistol_end,2026-02-03 13:10:14+00:00,0.885,0.07499999999999996,,"{-2: -0.015000000000000013, -1: 0.07499999999999996, 0: 0.07499999999999996, 1: 0.09999999999999998, 2: 0.10499999999999998}",0.04499999999999996,0.06221624999999996,0.04499999999999996,0.06221624999999996
hltv-2389656-103994,hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,de_anubis,relaxed,Team Falcons,a,prematch,2026-02-03 13:06:15+00:00,0.81,0.7479787925583469,1.0870787375509148,a,a,True,,2026-02-03 13:09:50.120000+00:00,9,2026-02-03 13:10:14+00:00,0.885,0.07499999999999996,0.91,v3_win_pop,pistol_end,2026-02-03 13:10:14+00:00,0.885,0.07499999999999996,,"{-2: -0.015000000000000013, -1: 0.07499999999999996, 0: 0.07499999999999996, 1: 0.09999999999999998, 2: 0.10499999999999998}",0.04499999999999996,0.06221624999999996,0.04499999999999996,0.06221624999999996
hltv-2389948-104317,hltv_2389948_104317_aurora_vs_fut_m1_mirage,de_mirage,strict,FUT Esports,b,prematch,2026-02-14 08:31:20+00:00,0.49,0.3811698707617866,-1.3243139045282504,b,b,True,,2026-02-14 08:34:52.530000+00:00,4,2026-02-14 08:35:21+00:00,0.57,0.07999999999999996,0.42,v3_win_pop,pistol_end,2026-02-14 08:35:21+00:00,0.57,0.07999999999999996,,"{-2: 0.015000000000000013, -1: 0.03500000000000003, 0: 0.07999999999999996, 1: -0.07, 2: -0.09499999999999997}",0.04999999999999996,0.05524999999999996,0.04999999999999996,0.05524999999999996
hltv-2389948-104317,hltv_2389948_104317_aurora_vs_fut_m1_mirage,de_mirage,relaxed,FUT Esports,b,prematch,2026-02-14 08:31:20+00:00,0.49,0.3811698707617866,-1.3243139045282504,b,b,True,,2026-02-14 08:34:52.530000+00:00,4,2026-02-14 08:35:21+00:00,0.57,0.07999999999999996,0.42,v3_win_pop,pistol_end,2026-02-14 08:35:21+00:00,0.57,0.07999999999999996,,"{-2: 0.015000000000000013, -1: 0.03500000000000003, 0: 0.07999999999999996, 1: -0.07, 2: -0.09499999999999997}",0.04999999999999996,0.05524999999999996,0.04999999999999996,0.05524999999999996
hltv-2389947-104312,hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,de_nuke,strict,Astralis,a,prematch,2026-02-14 08:28:13+00:00,0.4,0.6933128921911202,0.6484243805657226,a,a,True,,2026-02-14 08:31:58.250000+00:00,1,2026-02-14 08:32:13+00:00,0.42,0.019999999999999962,0.42,v3_win_pop,pistol_end,2026-02-14 08:32:13+00:00,0.42,0.019999999999999962,,"{-2: 0.024999999999999967, -1: 0.04999999999999999, 0: 0.019999999999999962, 1: 0.014999999999999958, 2: 0.10999999999999999}",-0.010000000000000037,-0.004180000000000041,-0.010000000000000037,-0.004180000000000041
hltv-2389947-104312,hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,de_nuke,relaxed,Astralis,a,prematch,2026-02-14 08:28:13+00:00,0.4,0.6933128921911202,0.6484243805657226,a,a,True,,2026-02-14 08:31:58.250000+00:00,1,2026-02-14 08:32:13+00:00,0.42,0.019999999999999962,0.42,v3_win_pop,pistol_end,2026-02-14 08:32:13+00:00,0.42,0.019999999999999962,,"{-2: 0.024999999999999967, -1: 0.04999999999999999, 0: 0.019999999999999962, 1: 0.014999999999999958, 2: 0.10999999999999999}",-0.010000000000000037,-0.004180000000000041,-0.010000000000000037,-0.004180000000000041
hltv-2389952-104340,hltv_2389952_104340_falcons_vs_3dmax_m1_nuke,de_nuke,strict,Team Falcons,a,prematch,2026-02-14 14:44:13+00:00,0.615,0.6472657726593536,1.5927768792101074,a,a,False,,2026-02-14 14:47:46.520000+00:00,7,2026-02-14 14:48:17+00:00,0.555,-0.05999999999999994,0.6,v3_quick,pistol_end,2026-02-14 14:48:17+00:00,0.555,-0.05999999999999994,,"{-2: -0.05499999999999994, -1: -0.08499999999999996, 0: -0.05999999999999994, 1: -0.0050000000000000044, 2: -0.015000000000000013}",-0.08999999999999994,-0.08418749999999994,-0.08999999999999994,-0.08418749999999994
hltv-2389952-104340,hltv_2389952_104340_falcons_vs_3dmax_m1_nuke,de_nuke,relaxed,Team Falcons,a,prematch,2026-02-14 14:44:13+00:00,0.615,0.6472657726593536,1.5927768792101074,a,a,False,,2026-02-14 14:47:46.520000+00:00,7,2026-02-14 14:48:17+00:00,0.555,-0.05999999999999994,0.6,v3_quick,pistol_end,2026-02-14 14:48:17+00:00,0.555,-0.05999999999999994,,"{-2: -0.05499999999999994, -1: -0.08499999999999996, 0: -0.05999999999999994, 1: -0.0050000000000000044, 2: -0.015000000000000013}",-0.08999999999999994,-0.08418749999999994,-0.08999999999999994,-0.08418749999999994
